"filename", "language", "Python", "JSON", "pip requirements", "Markdown", "comment", "blank", "total"
"c:\Users\monkiki\Desktop\weather_show\project\docs\tutorials.md", "Markdown", 0, 0, 0, 27, 0, 14, 41
"c:\Users\monkiki\Desktop\weather_show\project\docs\user_manual.md", "Markdown", 0, 0, 0, 65, 0, 33, 98
"c:\Users\monkiki\Desktop\weather_show\project\lib\aht10_drivers\aht10.py", "Python", 31, 0, 0, 0, 8, 8, 47
"c:\Users\monkiki\Desktop\weather_show\project\lib\aht10_drivers\aht10_driver.py", "Python", 50, 0, 0, 0, 0, 10, 60
"c:\Users\monkiki\Desktop\weather_show\project\lib\air780e_drivers\_4g_uart.py", "Python", 14, 0, 0, 0, 1, 2, 17
"c:\Users\monkiki\Desktop\weather_show\project\lib\camera_driver\Picamera2_Img_et.py", "Python", 19, 0, 0, 0, 11, 6, 36
"c:\Users\monkiki\Desktop\weather_show\project\lib\camera_driver\opencv.py", "Python", 9, 0, 0, 0, 0, 6, 15
"c:\Users\monkiki\Desktop\weather_show\project\requirements.txt", "pip requirements", 0, 0, 5, 0, 0, 1, 6
"c:\Users\monkiki\Desktop\weather_show\project\setup.py", "Python", 28, 0, 0, 0, 0, 2, 30
"c:\Users\monkiki\Desktop\weather_show\project\src\app\main_demo.py", "Python", 62, 0, 0, 0, 1, 20, 83
"c:\Users\monkiki\Desktop\weather_show\project\src\common\img_config.py", "Python", 56, 0, 0, 0, 8, 10, 74
"c:\Users\monkiki\Desktop\weather_show\project\src\common\send_photo_to_obs.py", "Python", 68, 0, 0, 0, 4, 16, 88
"c:\Users\monkiki\Desktop\weather_show\project\src\config\.mpyproject.json", "JSON", 0, 3, 0, 0, 2, 0, 5
"c:\Users\monkiki\Desktop\weather_show\project\src\config\config.json", "JSON", 0, 7, 0, 0, 0, 1, 8
"c:\Users\monkiki\Desktop\weather_show\project\tests\benchmark.py", "Python", 152, 0, 0, 0, 10, 31, 193
"Total", "-", 489, 10, 5, 92, 45, 160, 801